	x	y	theta	v	a	sigma	omega	t
0	-8.85572139303482	0.621890547263682	-0.98971402799757	0.0001	1.0	0.6554934968044249	0.0035737447944718145	0.08706082788132112
1	-8.855716613535893	0.6218832693903993	-0.9897116369777278	0.08716083876865136	1.0	0.6558046299848682	-0.4999996153877785	0.17412165576264224
2	-8.851551163924213	0.6155404587166329	-0.9876264703581988	0.17422166753023827	1.0	0.6122742495288659	-0.49999986651224415	0.26118248364396335
3	-8.843198625878738	0.6028795041280371	-0.9838219891836397	0.2612824962885089	1.0	0.5687438472097597	-0.4999999302364967	0.3482433115252845
4	-8.830600068260065	0.5839394999759364	-0.9786290849656529	0.3483433250449463	1.0	0.5252134393427672	-0.49999995589986235	0.4353041394066056
5	-8.813672700304522	0.5587761401610356	-0.97235241107237	0.43540415380020697	1.0	0.48168302924150075	-0.49999996850971384	0.5223649672879267
6	-8.792317706983654	0.5274571670244529	-0.9652753497375898	0.5224649825546377	1.0	0.43815261804241	-0.4999999752449922	0.6094257951692478
7	-8.766427374583273	0.4900581274042718	-0.9576641112387705	0.6095258113084422	1.0	0.3946222062569403	-0.499999978762824	0.6964866230505689
8	-8.735891604763474	0.4466582633568264	-0.949771168345002	0.6965866400617491	1.0	0.3510917941652051	-0.4999999801522386	0.7835474509318899
9	-8.700603908236998	0.3973364205643095	-0.9418381800102769	0.7836474688146435	1.0	0.3075613819525062	-0.499999979795212	0.870608278813211
10	-8.660466965405835	0.34216689917078424	-0.9340985229901461	0.8707082975671835	1.0	0.26403096977089036	-0.4999999776177945	0.9576691066945321
11	-8.615397841034937	0.28121520378542636	-0.9267795245043841	0.9577691263194082	1.0	0.2205005577788423	-0.49999997305895383	1.0447299345758532
12	-8.565332943313976	0.21453367461398926	-0.9201044704992225	1.0448299550713447	1.0	0.17697014618369072	-0.49999996473607866	1.1317907624571744
13	-8.51023282437245	0.14215700235779866	-0.9142944506022286	1.1318907838230094	1.0	0.13343973531313563	-0.499999949422162	1.2188515903384955
14	-8.45008692935996	0.06409764745109278	-0.9095700912228932	1.218951612574411	1.0	0.08990932577582288	-0.49999991878529637	1.3059124182198167
15	-8.384918414483382	-0.01965879903748398	-0.90615322154863	1.3060124413255512	1.0	0.04637891890578111	-0.49999984657056606	1.392973246101138
16	-8.314789170829716	-0.10915825843104124	-0.9042685128171656	1.393073270076424	1.0	0.002848518322813644	-0.4999996159124121	1.4800340739824591
17	-8.239805210334506	-0.20448273800706798	-0.9041451287981637	1.4801340988270166	1.0	-0.04068186217886388	-0.49999813581707353	1.5670949018637803
18	-8.16012259280353	-0.30575473905110867	-0.9060184244700716	1.5671949275773072	1.0	-0.0842121138222158	0.49308056491631835	1.6541557297451015
19	-8.075954098302404	-0.4131413749178636	-0.910131727215782	1.654255756327263	1.0	-0.04128411162841214	0.45750970646069306	1.7412165576264227
